id,strate,split,source,declencheur,contexte,texte,annotation,motif,doute,note
alea-017,aleatoire,test,article,,"INFOGRAPHIE. Rentrée scolaire : vacances, jours fériés… Voici le calendrier de l’année 2026-2027 en un coup d’œil","C'est le secret de la paix civile en France : la culture de la glandouille institutionnalisée. La rentrée n'est même pas faite qu'on compte déjà les ponts et les jours fériés. L'économie s'effondre, l'hôpital public est au hord de la rupture, les forêts flambent, l'insécurité et les trafics sont partout... mais pas de panique : tant qu'on ne touchera pas au RTT et aux WE sur la côte, les moutons marcheront droit et voteront Macron ou Philippe. Misère.",acceptable,,non,
alea-018,aleatoire,test,article,,Guerre en Ukraine : les alliés européens réaffirment leur soutien à Kiev malgré les menaces russes,"bien sur , bien sur.....mais vous etes d accord pour que les députés et sénateurs qui votent la guerre la fassent ?????",acceptable,,non,
alea-019,aleatoire,dev,post,,États-Unis : la justice militaire américaine déclare irrecevables les aveux du cerveau présumé du 11-Septembre,Ali Chayeb résume nous,acceptable,,non,
alea-020,aleatoire,dev,article,,France : Moscou accuse les candidats à la présidentielle d’agiter la « menace russe » sans raison,Une influence marginale qui ne changera rien mais que certains essaient d'instrumentaliser faute d'avoir un programme qui tient la route ou pour faire oublier un passif politique.,acceptable,,non,
alea-021,aleatoire,test,article,,"Girondins de Bordeaux. Nouveaux échanges, situation figée, réunion des repreneurs : le jour d’après, le club est bien en Régional",En français svp….,acceptable,,non,
alea-022,aleatoire,test,article,,Pétrole : les États-Unis et le Venezuela annoncent un accord « historique »,"MDR...pour exploiter le pétrole lourd, il faut des cours élevés ou avoir des pays vassaux et soumis qui acceptent de payer plus cher...comme le gaz de shiste, dont l’exploitation a été sauvée in extremis de la faillite qui aurait entraîné la faillite des banques américaines (3000 milliards de dollars de dettes contractées par l’industrie d’extraction)...",acceptable,,non,
alea-023,aleatoire,test,article,,"Héritage : « A partir de 12 millions d’euros, nous prendrons tout », Mathilde Panot (LFI) veut « interdire » les « riches »","bien sur que l'héritage est inégalitaire , déjà les enfants ont fait dans de très bonne conditions les plus hautes études possibles , ( ne pas oublier que l'ENA,   X, et quelques autres sont les seuls étudiants touchant un salaire conséquent, et avoir 12 millions d'euro d'héritage me semble suffisant pour bien débuter sa vie d'adulte avancé",acceptable,,non,
alea-024,aleatoire,test,article,,Présidentielle 2027 : Bruno Retailleau accuse LFI d’être un « parti de collabos » avec l’islamisme,Curieusement lfi se moque des génocides des chrétiens d'orient!,acceptable,,non,
alea-025,aleatoire,dev,article,,« Nous ne sommes partis que douze jours » : pourquoi les familles se serrent la ceinture pour la rentrée scolaire,"Celui que vous insultez ""le gamin"" c'est Monsieur Macron président de la République.  Être poli et correct ne coûte pas cher... enfin, il a été élu par une majorité de votants et vos ""chouchou"" gauchiste ne lui arrivent pas à la cheville. Vous pouvez chouiner, j'espere, et avec moi une multitude de français intelligents, que ca ne sera pas votre extrémiste favori qui sera élu",acceptable,,non,
alea-026,aleatoire,test,post,,"Mode ultra-éphémère : la France instaure un malus financier sur les produits de type Shein, en plus de la taxe européenne",Na Dine faire baisser les prix des vêtements vendus en magasin et/ou fabriqués en France ou en Europe (nettement mieux que de les faire venir de Chine) il faudra aussi baisser les salaires !! les entreprises françaises ne sont pas près de rogner sur leur marge mais plutôt sur le salaire à vous de voir,acceptable,,non,
alea-027,aleatoire,dev,article,,Présidentielle : un premier débat qui promet beaucoup [L’éditorial de la CL],"oui comme .. le Pen, Juppé, Balkany, Chirac, Sarkozy, Hortefeux, guéant, Fillon ..pour les plus connus",acceptable,,non,
alea-028,aleatoire,dev,post,,"Vidéo. Rappelez-vous, en 1997, Lady Diana Spencer perdait la vie à l’âge de 36 ans dans un tragique accident de voiture à Paris",L'horreur ce jour-là . Je n'oublierai jamais la princesse des coeurs 😢😢😢😢😢,acceptable,,non,
alea-029,aleatoire,test,post,,"Santé mentale : ces jeunes actifs qui enchaînent les arrêts maladie pour ne pas « cravacher » comme leurs parents
🔗https://l.sudouest.fr/JMbI",De belles faineasses cette génération  !!! On n'est pas sauvés avec ça !! 😡😡,acceptable,,non,
alea-030,aleatoire,test,article,,"Bayonne : l’œuvre urbaine « Poils incarnés » essuie une troisième dégradation, cette fois sur fond de concurrence des luttes","Bayonne 1847, la plèbe s'est exprimée.",acceptable,,non,
alea-031,aleatoire,test,post,,"Vidéo. Rappelez-vous, en 1997, Lady Diana Spencer perdait la vie à l’âge de 36 ans dans un tragique accident de voiture à Paris","Comment oublier ,j'y pensais depuis hier",acceptable,,non,
alea-032,aleatoire,test,article,,"« Personne n’est prédestiné à aller à la guerre » : Anastasia Fomitchova, de Saintes à Kiev, en passant par le front, récit d’une vie dédiée à sa patrie","==================  >Ano3021180 - Il y a 1 heure - 28 août 2026 à 19h14  Vous semblez aimer ce coté historique , parlez nous donc de Alexandre Iouriévitch Borodaï .",acceptable,,non,
alea-033,aleatoire,dev,post,,Bruno Meunier est président de la Fédération régionale des chasseurs de Nouvelle-Aquitaine qui compte 150 000 adhérents,Non ça serait bien,acceptable,,non,
alea-034,aleatoire,dev,article,,Guillaume Laforgue après SA XV - Colomiers : « On a fait preuve de caractère » [vidéos],"Une première victorieuse et pas contre n'importe qui !!! La volonté et l'apport des recrues ont permis ce dénouement heureux. Apprécions le sans réserve et soutenons notre équipe, elle ne triche pas.
Vive le SAXV!",acceptable,,non,
alea-035,aleatoire,dev,article,,"ANALYSE. Girondins de Bordeaux : la FFF repousse en silence un réexamen, la porte de la N1 probablement refermée","« Le repreneurs, les salariés, les joueurs, le public sont pénalisés par l’immoralité de Gérard Lopez. » C’est très bien resumé. Sparta aura essayé mais c’était de toute façon trop tard. Le seul responsable de ce désastre est Lopez qui aura tout foiré du debut à la fin.",acceptable,,non,
alea-036,aleatoire,dev,article,,À partir de combien les riches font-ils sécession? [L’éditorial de CL],Pardon ?,acceptable,,non,
alea-037,aleatoire,dev,post,,"🎙️🔥Un peu plus d’un mois après le mégafeu parti de Saumos, qui a détruit 42 000 hectares en Gironde, la préfète de la Gironde, Sophie Brocas, a tenu ce mardi 25 août une conférence de presse consacrée au « retour d’expérience » sur la gestion de l’incendie. À ses côtés, le contrôleur général Marc Vermeulen, directeur départemental du SDIS de la Gironde, est également revenu sur la gestion de cette crise hors norme.",Vandermeulen fut d'une médiocrité sidérante. Un type qui n'a aucune envergure. C'est fait exprès ou quoi ?,acceptable,,non,
alea-038,aleatoire,dev,article,,Patrick Bruel : Aurore Bergé appelle le chanteur à renoncer à sa tournée,"C’est là qu’on devrait apprécier d’être anonyme. Au moins, on est à l’abri que des dizaines de voisines, collègues, anciennes camarades de scolarité, ne viennent nous accuser d’agression sexuelle.",acceptable,,non,
alea-039,aleatoire,dev,post,,"🔴 « Un drame terrible » : à Trélissac, en Dordogne, deux jeunes motards perdent la vie dans un accident après avoir percuté un véhicule en stationnement à vive allure
🔗https://l.sudouest.fr/kjBf",C'est bien triste🙏,acceptable,,non,
alea-040,aleatoire,test,article,,Budget 2027 : Maud Bregeon appelle le Parti socialiste à « la responsabilité » et souligne le « risque financier pour le pays »,"Du chantage. 
C'est le PS qui est responable de la remontée de l'inflation, du carburant à plus de 2 euros ( plus de 50 centimes par rapport à l'Espagne). Du retour du chômage, de la récession qui s'annonce?
Où c'est son gouvernement?",acceptable,,non,
pres-041,preselection,dev,article,clandestins+expulser,Pauvreté : le nombre d’enfants à la rue atteint un nouveau record en France en 2026,"Expulser les clandestins, ca xera de l air",acceptable,,non,
pres-042,preselection,test,article,arabes+dehors,Présidentielle 2027 : Bruno Retailleau accuse LFI d’être un « parti de collabos » avec l’islamisme,"Oui, je comprends : dès qu’il faut suivre un raisonnement de plus de trois lignes, ça devient du « blablabla ». « Les Arabes dehors ! », « Les chômeurs sont des fainéants ! » : c’est tout de suite plus accessible.",acceptable,,non,
pres-043,preselection,dev,article,immigres+expulser,Présidentielle 2027 : Bruno Retailleau durcit le ton pour relancer sa campagne,"si remettre au pouvoir ceux qui ont fait 3500 milliards de dettes , supprimé 13000 lits d hopitaux , accueillis 500 000 immigrés par an , laissé les urgences dans un état digne du tiers monde, etre incapable d expulser 800 000 immigrés en situation irrégulière baisser les remboursements sécu augmenter l age de départ a la retraite , fait partie de votre feuille de route n hésitez pas a revoter pour eux...............",acceptable,,non,
pres-044,preselection,dev,article,immigration+degager,"DIRECT VIDEO. Présidentielle 2027 : Attal, Le Pen, Mélenchon, Philippe… suivez le débat entre sept candidats dès 16h45","Les chiffrages budgétaires présentés par le Rassemblement national font l'objet de vives réserves de la part de la plupart des instituts de conjoncture économique (OFCE, Institut Montaigne, iFRAP) et des économistes de diverses obédiences.
​Leurs critiques s'articulent autour de cinq points principaux :
​1. Surévaluation des gains liés à l'immigration
​Les économistes jugent irréaliste l'objectif de 16 milliards d'euros d'économies annuelles tiré des mesures restrictives sur l'immigration.
​Réalité des coûts : L'Aide Médicale d'État (AME) représente environ 1,2 milliard d'euros par an ; sa suppression totale — en mettant de côté le risque sanitaire et les coûts reportés sur les urgences hospitalières — ne suffirait pas à dégager les montants avancés.
​Cotisations vs prestations : Les études de l'OCDE et du Trésor rappellent que les populations immigrées contribuent également aux recettes (cotisations, TVA). Restreindre leurs droits sans impacter leur contribution fiscale nette relève du saut conceptuel.
​2. Illusions juridiques sur la contribution européenne
​La volonté de réduire unilatéralement la contribution française au budget de l'UE (de 8 à 10 milliards d'euros) se heurte au droit européen et aux traités internationaux. Un manquement unilatéral déclencherait immédiatement des procédures d'infraction, le blocage des fonds européens destinés à la France (notamment la PAC et les fonds de relance) et des pénalités financières, annulant le bénéfice escompté.
​3. Rendement surévalué de la lutte contre la fraude
​Le RN table sur 10 à 15 milliards d'euros d'économies par la résorption des fraudes.
​Fraude sociale : Le Haut Conseil des Finances Publiques (HCFP) et les rapports de la Cour des comptes indiquent que la fraude aux prestations sociales détectée représente une fraction très limitée de ce montant.
​Fraude fiscale : Récupérer la fraude fiscale complexe exige des moyens humains et des délais d'instruction judiciaires longs, incompatibles avec des recettes d'application immédiate dans un budget annuel.
​4. Risque de surcoûts par la réaction des marchés
​Les instituts d'analyse financière pointent le risque d'un renchérissement du coût de la dette française. Une trajectoire budgétaire jugée bancale par les agences de notation ou les marchés financiers ferait grimper l'écart de taux (le spread) entre la France et l'Allemagne. Une hausse des taux d'intérêt de quelques dizaines de points de base suffirait à ajouter plusieurs milliards d'euros annuels à la charge de la dette, effaçant ainsi une partie des économies prévues.
​5. Effet récessif des coupes administratives
​La suppression massive d'organismes publics et la réduction d'effectifs (notamment dans les agences régionales) risquent de dégrader la qualité des services de santé et d'administration locale, tout en contractant la demande globale à court terme.",acceptable,,non,
pres-045,preselection,test,article,etrangers+virer,"Réchauffement climatique : sur Arte, le choix conscient des élites de nous guider dans le mur mis en lumière par un documentaire","Oui! Vive le RN, Vive a misère! On va virer les étrangers, les PD et les trans! 
Fini de s’amuser! 

De toute façon le réchauffement climatique y’a que la gauchiasse pour en avoir peur, car il n’existe pas!",acceptable,,oui,
pres-046,preselection,dev,post,chretiens+tuer,"Environ 1 500 représentants de la plus grande loge maçonnique de France, réunis à Bordeaux, ont élu ce vendredi 28 août ce juriste de formation et responsable national du syndicat Unsa, âgé de 50 ans, qui avait déjà occupé le mandat en 2023. Dans sa feuille de route, spiritualité laïque, écologie et dénonciation des extrêmes","Jean-Pierre Guillot C'est quand même pas très compliqué à comprendre ça !!! La révolution française est un hold up de la Franc Maçonnerie Satanique qui, avait pour but de tuer la monarchie et donc l'Eglise. La république s'est construite sur le sang des chrétiens. 
Nous sommes gouvernés par des adorateurs de Satan, tout est corrompu jusqu'à dans les plus hautes instances de l'état. 
Leur but est la destruction totale de L'église catholique ( qui est le chemin, la vérité et la vie ) et la mise en place du nouvel ordre mondial. 
Voilà ...la vérité",acceptable,,non,
pres-047,preselection,test,article,chretiens+eliminer,Présidentielle 2027 : Bruno Retailleau accuse LFI d’être un « parti de collabos » avec l’islamisme,"pour vous et vos semblables éliminer gaza n'est qu'un détail de l'histoire, vous êtes à vomir ! d'ailleurs les chrétiens n'avaient qu'à rester chez eux, ce sont eux qui ont voulu s'imposer dans ces pays, qui cherche trouve !",acceptable,,non,
pres-048,preselection,dev,post,etranger+eliminer,Cisjordanie : des dizaines de colons israéliens attaquent un village palestinien,Sylvie Lpz  c'est un peut près comme le système. Humanitaire d'un organisme qui essaie d'éliminer un Corp étranger,acceptable,,oui,
pres-049,preselection,test,article,africains+tabasser,Pétrole : les États-Unis et le Venezuela annoncent un accord « historique »,"Les chinois et les russes ont avalé  leurs chapeaux, l'armement russo-chinois a été incapable de détecter et de défendre le Venezuela pour contrer l'armada américaine.  La Russie est bigrement empêtrée en Ukraine, la RussaAfrique tourne à l'avantage des djihadistes, le monde entier a découvert le naufrage de l'armement russe. Pour la Chine en Afrique elle arrive avec ses salariés asiatiques ce qui agace fortement les africains qui finissent par les tabasser pour les chasser du continent, de plus la situation sécuritaire en Afrique rends la Chine de plus en plus prudente. La roue tourne !",acceptable,,non,
pres-050,preselection,dev,post,africains+virer,"À l’appel des associations franco-ukrainiennes, une centaine de personnes se sont rassemblées, lundi 24 août, sur le parvis de Droits de l’homme, pour marquer le 35e anniversaire de l’indépendance de l’Ukraine, toujours en guerre","Alexis Laurendeau le Lémurien Ben allons y ! Tu fais quoi toi pour contrer la propagande russe débilitante en afrique, pour lutter contre les recrutements, déguisés ou pas, des africains, pour virer wagner, enfin pardon, c'est africacorps maintenant, du sahel ? Tu as fondé ou fait partie d'une association ?  Tu fais des dons ? Tu vas sur place  faire de l'humanitaire,  combattre ? Ou tu viens juste demander bêtement set de manière complètement hors sujet demander : ""gneugneugneu et l'Afrique, on en parle ? Gneugneugneu """,acceptable,,non,
pres-051,preselection,dev,article,immigration,Présidentielle : un premier débat qui promet beaucoup [L’éditorial de la CL],"Lire un programme ça serait bien et les français se moquent totalement de l'immigration ce n'est absolument pas un problème ! Surtout qu en terme d'immigration on est plus strict que l'Italie géré par l'extrême droite !!!
Les français veulent du travail, de l'argent et la santé ... Et le programme du RN c'est le néant car il favorise les riches !!!! Tjs les mêmes qui critiquent la gauche et idolâtre un parti qui les utilise pour enrichir les plus riches !!!

Marine Lepen et macron c'est la même chose avec un gouvernement lr !! Des incompétents et menteurs !",acceptable,,non,
pres-052,preselection,test,article,nazis,"Héritage : « A partir de 12 millions d’euros, nous prendrons tout », Mathilde Panot (LFI) veut « interdire » les « riches »","Ce n'est pas la presse qui tient la main des électeurs, mais elle les a toutefois intensément conditionnés en leur disant pour qui il ne fallait surtout pas voter, parce que c'était mal et que ça installerait des nazis au pouvoir. Résultat : deux élections par défaut en  2017 et 2022, pour la dernière le vainqueur ne s'étant même pas donné la peine de faire campagne.",acceptable,,non,
pres-053,preselection,test,post,juif,Cisjordanie : des dizaines de colons israéliens attaquent un village palestinien,Gregory Saboureau la mecque c en arabie saoudite ? Vous n allez pas dire : on a deplacer votre mecque à Nevers c plus pratique! Il faut respecter les croyances. La vie sur terre d Israël fait partie integrante du culte juif. Et ca aussi faut respecter.,acceptable,,non,
pres-054,preselection,test,post,roms,"Budget 2027 : le RSA et le minimum vieillesse seront indexés sur l’inflation, confirme Jean-Pierre Farandou",Roms Alexis  pour les faignasses,acceptable,,non,
pres-055,preselection,test,article,etranger,Vidéo. Présidentielle 2027 : la CFDT propose de taxer les héritages dès le premier euro et en appelle au courage des politiques,votre naiveté est touchante......ou a l étranger ????,acceptable,,non,
pres-056,preselection,test,post,bataclan,États-Unis : la justice militaire américaine déclare irrecevables les aveux du cerveau présumé du 11-Septembre,"Notre 14 juillet a Nice,,,,notre Bataclan,,notre Merah, etc etc",acceptable,,non,
pres-057,preselection,dev,article,juifs,Sénatoriales en Charente-Maritime : La France insoumise désigne ses candidats,"En espérant que les électeurs écarteront ce parti extrémiste à l'antisémitisme décomplexé... LFI le parti qui n'aime pas les riches, pas les propriétaires, pas les patrons, pas les juifs",acceptable,,non,
pres-058,preselection,test,post,musulmans,Cisjordanie : des dizaines de colons israéliens attaquent un village palestinien,"Daniel Delerue Cessez, les israelien ne sont que des va-t-en guerre qui veulent s'apprprier tout le territoire pslestinien et maintenant le Liban. Attendez de voir les pays musulmans s'allier á l'Iran rt là vous n'aurez que vos yeux pour pleurer. Et vous l'aurez bien cherché",acceptable,,non,
pres-059,preselection,dev,article,shoah,Guerre en Ukraine : Volodymyr Zelensky réclame davantage de fonds aux Européens pour sa défense,"Les affirmations de ton message mélangent des éléments factuels, des désinformations fréquentes et des raccourcis historiques. Voici un éclairage point par point :
​Sur l'interdiction de la langue russe
La langue russe n'a pas été « interdite » dans le Donbass. En 2014, le Parlement ukrainien a tenté d'abroger une loi de 2012 attribuant le statut de langue officielle régionale au russe dans certaines zones, mais le président par intérim de l'époque, Oleksandr Tourtchynov, a mis son veto et la loi est restée en vigueur jusqu'en 2018. En 2019, une nouvelle loi a fait de l'ukrainien la seule langue officielle dans la sphère publique et administrative, tout en continuant d'autoriser l'usage du russe dans la vie privée, les échanges quotidiens et les médias (sous conditions de quotas).
​Sur la situation et les victimes dans le Donbass (2014-2021)
Le conflit dans le Donbass a débuté en 2014 après l'annexion de la Crimée et l'insurrection armée de séparatistes pro-russes soutenus par Moscou. Selon le Haut-Commissariat des Nations unies aux droits de l'homme (HCDH), la guerre a fait environ 14 000 morts entre 2014 et 2021 (dont environ 3 400 civils, 4 400 militaires ukrainiens et 6 500 combattants pro-russes). Les pertes civiles étaient dues aux bombardements des deux côtés de la ligne de front, et non à un « massacre » ciblé et unilatéral de populations par Kiev.
​Sur Stepan Bandera et l'histoire de la Seconde Guerre mondiale
Stepan Bandera était le dirigeant de la faction radicale de l'Organisation des nationalistes ukrainiens (OUN-B).
​Collaborations et crimes : Ses troupes (l'OUN-B et la branche armée UPA) ont collaboré avec l'Allemagne nazie au début de la guerre et portent une responsabilité directe dans des massacres de masse, notamment les massacres de dizaines de milliers de civils polonais en Volhynie et en Galicie, ainsi que dans la participation à la Shoah.
​Uniforme SS : Contrairement à une idée reçue, Bandera lui-même n'a pas porté l'uniforme de la division SS Galicie. Arrêté par les Nazis dès juillet 1941 après avoir proclamé un État ukrainien indépendant, il a été emprisonné au camp de concentration de Sachsenhausen jusqu'en 1944. Cela n'enlève rien aux crimes idéologiques et aux exactions commises par les troupes nationalistes se réclamant de son mouvement.
​Monuments : La glorification de Bandera et l'érection de statues à son effigie (principalement dans l'ouest de l'Ukraine) restent un sujet très controversé et une source de vives tensions diplomatiques, en particulier avec la Pologne.
​Sur les insignes et symboles au sein de l'armée
Des bataillons ukrainiens formés en 2014 (comme le régiment Azov à ses débuts) ont intégré des volontaires d'extrême droite arborant des symboles néonazis (comme le Wolfsangel). Ces unités ont été intégrées à la Garde nationale et Restructurées, mais la présence de ces symboles reste régulièrement dénoncée par des observateurs internationaux et des ONG.
​Sur les ONG anti-corruption et les tensions politiques interieures
L'Ukraine est confrontée depuis des décennies à des problèmes structurels de corruption. Volodymyr Zelensky a été élu en 2019 sur une promesse de lutte contre les oligarques. Si des tensions existent régulièrement entre le gouvernement et certaines structures ou figures de l'opposition et de la société civile (notamment sur le rythme des réformes ou le contrôle des institutions anti-corruption comme le NABU), les ONG anti-corruption indépendantes n'ont pas été dissoutes. Des affaires de corruption ont conduit Zelensky à limoger plusieurs hauts responsables et ministres, dont le ministre de la Défense Oleksiy Reznikov en 2023 à la suite de scandales d'approvisionnement militaire.",acceptable,,non,
pres-060,preselection,test,post,juive,"La prix Nobel Elfriede Jelinek dénonce un « mensonge » de l’Occident sur l’État palestinien, qui ne verra « jamais » le jour « au train où vont les choses »",Juliette Dominici elle est juive...,acceptable,,non,
pres-061,preselection,test,article,etranger,"Héritage : « A partir de 12 millions d’euros, nous prendrons tout », Mathilde Panot (LFI) veut « interdire » les « riches »",Débile __11 millions c’est pas non plus les sommets c’est la france qui travaille et economise pour entretenir cassos et croulant faienant _J’ai calculé  perso plus de 80 pour cent de ce que je gagne repars a l’etat si melenchon passe mes valises sont prêtes et mes avoirs partent en previsions a l’étranger,acceptable,,non,
pres-062,preselection,dev,post,islamistes,Cisjordanie : des dizaines de colons israéliens attaquent un village palestinien,BRAVO  ISRAËL QUI  NETTOIE LA FOSSE SEPTIQUE ISLAMISTES,rejete,provocation_haine,non,
pres-063,preselection,test,article,immigre,"Présidentielle 2027 : « Ah oui ça m’inquiète pour l’économie française », le PDG de TotalEnergies estime que Marine Le Pen et Jean-Luc Mélenchon feraient « courir un risque à la France »","Il a plus à s'inquiéter de l'arrivée de jean Luc Mélenchon pour son portefeuille et celui de Total qui prendront tout, il n'aura plus qu'à immigré au Venezuela pour les pétroliers US.",acceptable,,non,
pres-064,preselection,dev,post,etranger,Algérie : un deuil national de trois jours après des incendies qui ont fait 12 morts,J Michel Petro venant d’un étranger c’est assez drôle !,acceptable,,non,
